title_id,genre,main_rating,main_title,title_id
316909,['story' 'fantasy'],9.97,그 판타지 세계에서 사는 법,316909
316911,['story' 'fantasy'],9.94,탈(TAL),316911
316912,['episode' 'daily' 'sensibility'],9.95,내 어린고양이와 늙은개,316912
316913,['story' 'drama'],9.89,봉봉오쇼콜라,316913
316914,['episode' 'daily' 'comic'],9.89,혈액형에 관한 간단한 고찰,316914
317362,['story' 'drama'],9.26,다욤이의 다이어트 다이어리,317362
317365,['story' 'daily'],9.92,고시생툰,317365
318992,['story' 'pure'],9.93,우연일까?,318992
318995,['story' 'action'],9.76,갓 오브 하이스쿨,318995
325629,['story' 'comic'],8.32,패션왕,325629
325630,['story' 'fantasy' 'drama'],9.89,기태류,325630
325631,['story' 'fantasy'],9.80,시간의 섬,325631
332797,['episode' 'sensibility'],9.89,움비처럼,332797
335885,['story' 'daily' 'comic'],9.96,가우스전자 시즌1~2,335885
336944,['story' 'comic' 'drama'],9.73,오란씨100,336944
336945,['story' 'drama' 'sensibility'],9.75,길에서 만나다,336945
337962,['story' 'drama'],9.58,오늘의 낭만부,337962
337963,['story' 'fantasy' 'drama'],9.87,지상 최악의 소년,337963
337964,['story' 'comic'],9.93,타임인조선,337964
347685,['story' 'comic' 'drama'],7.36,슈퍼트리오 시즌2,347685
350217,['omnibus' 'thrill'],8.44,2011 미스테리 단편,350217
358286,['story' 'drama'],9.89,단편 할머니/나는내일죽는다,358286
358422,['story' 'action' 'drama'],9.42,소녀더와일즈,358422
360613,['story' 'fantasy'],9.31,리버스,360613
374970,['story' 'drama'],9.96,얼룩말,374970
374973,['story' 'drama' 'historical'],9.95,문아,374973
374974,['story' 'comic' 'fantasy'],9.86,심심한 마왕,374974
387517,['story' 'comic' 'drama'],9.79,나란의사 그런의사,387517
387518,['episode' 'daily' 'comic'],9.95,달콤한 인생,387518
389845,['story' 'pure'],9.79,블라인드 메르헨,389845
389848,['story' 'action'],9.95,헬퍼,389848
395442,['story' 'comic' 'action'],9.78,격투기특성화사립고교 극지고,395442
395444,['episode' 'fantasy'],9.81,"이현세, 이두호의 지옥캠프 단편선",395444
400735,['story' 'drama' 'historical'],9.86,한섬세대,400735
400736,['story' 'fantasy' 'thrill'],9.83,초록인간,400736
400737,['story' 'comic' 'drama'],9.74,고삼이 집나갔다,400737
400738,['episode' 'daily' 'comic'],9.92,부토,400738
400739,['story' 'fantasy'],9.76,에이머,400739
400740,['story' 'fantasy'],9.96,천년구미호,400740
400741,['story' 'fantasy'],9.95,카오스어택,400741
400742,['story' 'fantasy' 'drama'],9.97,이런 영웅은 싫어,400742
403631,['episode' 'daily' 'comic'],9.74,스마트폰 게임 개발 이야기,403631
407142,['story' 'thrill'],9.77,연 시즌2,407142
409100,['episode'],6.27,만화사랑 캠페인,409100
409628,['omnibus' 'fantasy'],9.84,S라인,409628
409629,['story' 'fantasy' 'thrill'],9.95,죽은 마법사의 도시,409629
409630,['episode' 'daily' 'comic'],9.82,역전! 야매요리,409630
